remitente,asunto,longitud,num_palabras,tiene_link,tiene_dinero,tiene_premio,tiene_saludo,mayusculas_ratio,signos_exclamacion,num_adjuntos,es_largo
usuario0@mail.com,Aviso de seguridad,373,52,1,1,0,0,0.13,9,3,1
usuario1@mail.com,Oferta especial,443,40,1,0,1,1,0.34,2,1,0
usuario2@mail.com,Actualización de cuenta,396,96,1,0,0,1,0.55,7,2,1
usuario3@mail.com,Aviso de seguridad,284,25,1,1,1,1,0.99,4,1,0
usuario4@mail.com,Promoción exclusiva,488,84,0,1,0,0,0.96,5,0,1
usuario5@mail.com,Reunión mañana,448,11,0,0,1,0,0.4,9,0,0
usuario6@mail.com,Información importante,269,25,0,0,0,0,0.91,5,1,0
usuario7@mail.com,Aviso de seguridad,280,26,0,0,1,1,0.19,8,0,0
usuario8@mail.com,Promoción exclusiva,398,93,0,1,0,1,0.54,2,1,1
usuario9@mail.com,Actualización de cuenta,417,86,0,0,1,1,0.58,10,1,1
usuario10@mail.com,Factura pendiente,22,6,0,1,0,0,0.73,6,2,0
usuario11@mail.com,Promoción exclusiva,168,5,1,1,1,1,0.3,2,0,0
usuario12@mail.com,Factura pendiente,262,73,0,0,0,0,0.39,0,1,1
usuario13@mail.com,Reunión mañana,247,87,1,1,1,1,0.73,4,1,1
usuario14@mail.com,Actualización de cuenta,418,45,0,0,1,0,0.77,10,1,0
usuario15@mail.com,Factura pendiente,424,41,1,0,1,0,0.89,10,0,0
usuario16@mail.com,Aviso de seguridad,55,36,1,1,0,1,0.65,3,3,0
usuario17@mail.com,Reunión mañana,363,32,1,0,0,1,0.73,4,3,0
usuario18@mail.com,Factura pendiente,387,81,1,1,1,0,0.15,7,1,1
usuario19@mail.com,Actualización de cuenta,475,67,0,0,0,0,0.33,0,3,1
usuario20@mail.com,Actualización de cuenta,204,26,0,1,1,1,0.49,7,2,0
usuario21@mail.com,Recordatorio de cita,241,60,1,0,1,1,0.03,10,1,1
usuario22@mail.com,Saludos cordiales,389,72,1,1,0,1,0.29,5,0,1
usuario23@mail.com,Oferta especial,82,69,0,0,1,0,0.96,5,3,1
usuario24@mail.com,Factura pendiente,35,25,0,1,0,1,0.39,10,2,0
usuario25@mail.com,Novedades del mes,60,39,1,1,1,1,0.05,0,2,0
usuario26@mail.com,Factura pendiente,174,78,0,1,1,1,0.71,3,3,1
usuario27@mail.com,Factura pendiente,196,54,0,1,0,0,0.61,8,1,1
usuario28@mail.com,Reunión mañana,212,35,0,0,0,0,0.93,2,0,0
usuario29@mail.com,Factura pendiente,280,7,1,0,0,0,0.11,7,2,0
usuario30@mail.com,Oferta especial,341,88,0,1,0,0,0.2,2,0,1
usuario31@mail.com,Promoción exclusiva,382,11,1,1,1,0,0.76,6,0,0
usuario32@mail.com,Oferta especial,47,58,0,0,1,1,0.66,4,2,1
usuario33@mail.com,Actualización de cuenta,460,21,1,1,0,1,0.58,2,1,0
usuario34@mail.com,Actualización de cuenta,432,68,0,0,1,1,0.34,1,2,1
usuario35@mail.com,Aviso de seguridad,414,82,1,0,1,1,0.89,0,2,1
usuario36@mail.com,Actualización de cuenta,171,48,1,0,0,0,0.1,0,2,0
usuario37@mail.com,Aviso de seguridad,423,20,0,0,0,1,0.38,1,1,0
usuario38@mail.com,Promoción exclusiva,94,74,1,0,0,0,0.17,3,3,1
usuario39@mail.com,Oferta especial,115,85,1,0,1,0,0.78,2,2,1
usuario40@mail.com,Información importante,94,21,0,0,0,1,0.96,9,0,0
usuario41@mail.com,Factura pendiente,447,50,0,0,1,1,0.28,8,3,0
usuario42@mail.com,Aviso de seguridad,105,57,0,1,1,0,0.64,1,1,1
usuario43@mail.com,Información importante,400,10,0,0,1,1,0.5,7,1,0
usuario44@mail.com,Saludos cordiales,92,7,0,1,1,1,0.91,7,1,0
usuario45@mail.com,Reunión mañana,77,60,0,0,1,0,0.48,2,0,1
usuario46@mail.com,Actualización de cuenta,361,58,0,1,1,1,0.4,1,1,1
usuario47@mail.com,Recordatorio de cita,347,64,0,1,0,1,0.37,5,1,1
usuario48@mail.com,Promoción exclusiva,212,24,0,1,0,1,0.24,3,3,0
usuario49@mail.com,Aviso de seguridad,178,9,1,1,1,1,0.53,7,1,0
usuario50@mail.com,Saludos cordiales,103,78,0,1,0,1,0.01,9,2,1
usuario51@mail.com,Actualización de cuenta,352,11,1,1,0,1,0.78,8,2,0
usuario52@mail.com,Novedades del mes,38,9,0,0,0,0,0.0,7,2,0
usuario53@mail.com,Novedades del mes,260,51,0,1,1,1,0.03,6,1,1
usuario54@mail.com,Información importante,423,18,0,1,0,1,0.82,3,3,0
usuario55@mail.com,Recordatorio de cita,213,47,0,0,1,1,0.09,1,2,0
usuario56@mail.com,Novedades del mes,326,85,0,1,0,1,0.92,5,3,1
usuario57@mail.com,Información importante,112,22,1,0,1,1,0.99,7,3,0
usuario58@mail.com,Aviso de seguridad,146,26,0,1,0,0,0.46,7,1,0
usuario59@mail.com,Aviso de seguridad,461,45,0,1,0,0,0.24,8,0,0
usuario60@mail.com,Aviso de seguridad,431,39,1,0,1,0,0.18,7,1,0
